Color;VehicleModel;VehicleDesc;ModelYear;VehicleType;DateStolen;Location
White;Homebuilt;15X7;1994;Boat Trailer;01/01/22;Canterbury Bight
Grey;Trailer;KEA;1998;Trailer;16/11/21;Tasman B.
Grey;Trailer;ROADCHIEF;2019;Trailer;20/01/22;Northland
Orange;KTM;EXC;2002;Roadbike;13/02/22;Northland
Silver;Trailer;JOBMATE;2019;Trailer;13/03/22;Bay of Plenty
Silver;Trailer;ENSOL TANKER;2022;Trailer;01/04/22;Carterton
Silver;Trailer;BRAKED TANDEM;2019;Trailer;17/12/21;Bay of Plenty
Grey;Trailer;HARENG;1980;Trailer;31/12/21;Wakatipu L.
Silver;Trailer;HOMEBUILT;2019;Trailer;13/03/22;South Invercargill
Silver;Titan;DOMESTIC TRAILER;2019;Trailer;29/10/21;Wanaka
Green;Trailer;HOMEMADE;1962;Trailer;16/02/22;Canterbury Bight
White;Trailer;SPACEE 2000;1997;Trailer;16/11/21;Carterton
Silver;Briford;8X4 TANDEM TIPPER;2018;Trailer;18/03/22;Canterbury Bight
Silver;Factory Built;BRENT SMITH TRAILERS;2019;Trailer;30/12/21;Wellington
Silver;Trailer;Tasman B.8X5TB;2019;Trailer;10/10/21;Tasman B.
Silver;Trailer;MAKZ;2019;Boat Trailer;14/12/21;Wellington
Silver;Pinto;ENCLOSED TRAILER;2019;Trailer;19/10/21;Wanaka
Silver;Trailer;ELITE 8X4;2019;Trailer;28/02/22;Canterbury Bight
Silver;Trailer;TRANSPORTER;2019;Trailer - Heavy;27/12/21;Eastbourne
Grey;Trailer;DOMESTIC;2019;Trailer;09/03/22;Wanaka
Silver;Factory Built;DOMESTIC TRAILER;2015;Trailer;21/03/22;Northland
Silver;Briford;TRAILER 8X4;2015;Trailer - Heavy;08/12/21;Auckland
White;Caravan;XPLORE 452;2008;Caravan;26/12/21;Bay of Plenty
Silver;Pinto;BRAKED TANDEM;2015;Trailer;18/02/22;Wakatipu L.
Silver;Trailer;HOBBS;2015;Trailer;12/11/21;Eastbourne
Silver;Trailer;WILPRO;2015;Trailer;22/11/21;Bay of Plenty
Silver;Briford;TRAILER;2015;Trailer - Heavy;24/01/22;Manukau
Silver;Briford;TRAILER;2015;Trailer - Heavy;08/03/22;Auckland
Silver;Briford;OTHER COMMERCIAL TRA;2015;Trailer - Heavy;06/01/22;Canterbury Bight
Silver;Trailer;SINGLE AXLE 7X4;2015;Trailer;19/02/22;Canterbury Bight
White;Sprite;ALPINE  4T2A;2007;Caravan;29/01/22;Wellington
Silver;Trailer;FACTORY BUILT;2015;Trailer;10/01/22;Carterton
Blue;Nissan;SKYLINE;1989;Saloon;03/02/22;Wellington
Silver;Trailer;YAMAHA VXR;2015;Boat Trailer;10/11/21;Canterbury Bight
Silver;Briford;TRAILER;2015;Trailer - Heavy;12/10/21;Wellington
Silver;Trailer;ROADLINE;2015;Trailer;30/10/21;Northland
Silver;Trailer;TRAYLA;2015;Trailer;13/01/22;Wellington
Silver;Briford;TRAILER;2015;Trailer - Heavy;31/12/21;Wakatipu L.
Silver;Briford;TRAILER;2015;Trailer - Heavy;08/12/21;Manukau
Red;Classic;HALF VISTA;1972;Caravan;16/03/22;Bay of Plenty
White;Trailer;CANTERBURY FABRICAT;2015;Trailer - Heavy;08/03/22;Carterton
Silver;Trailer;4.5M FLATDECK;2015;Trailer;28/01/22;Wakatipu L.
Orange;KTM;SFX;2020;Trail Bike;08/11/21;Canterbury Bight
